City and state, Rank based on resident population 2005, Median household income (dollars), Median family income  (dollars), Per capita income  (dollars), Individuals for  whom poverty status determined (number), Families for  whom poverty status determined (number), Total individual below povery level, Total familes below povery level, Percent individual below povery level, Percent familes below povery level
133,285.0,47050.0,52771.0,18886.0,92079.0,21757.0,13245.0,2343.0,14.38438732,10.76894792
134,216.0,36630.0,37882.0,13382.0,107899.0,23501.0,25527.0,4835.0,23.65823594,20.57359261
135,21.0,32205.0,35562.0,15248.0,582330.0,146050.0,158216.0,34695.0,27.16947435,23.75556316
136,280.0,51232.0,55366.0,21531.0,93181.0,-1.0,9367.0,-1.0,10.05247851,-1.0
137,193.0,40413.0,42377.0,18136.0,120458.0,28900.0,23728.0,4638.0,19.69815205,16.04844291
138,187.0,82784.0,87766.0,28668.0,126731.0,-1.0,3516.0,-1.0,2.77438038,-1.0
139,292.0,31376.0,41177.0,16421.0,91187.0,21506.0,18390.0,3109.0,20.16734842,14.45643076
140,174.0,51857.0,56490.0,21851.0,132393.0,32702.0,12550.0,2249.0,9.479353138,6.877255214
141,153.0,33070.0,49212.0,21685.0,142329.0,31731.0,27415.0,3870.0,19.26171054,12.19627494
142,475.0,58940.0,95663.0,41915.0,62258.0,-1.0,6523.0,-1.0,10.47736837,-1.0
143,212.0,34362.0,44034.0,19247.0,109685.0,29567.0,17118.0,3428.0,15.60650955,11.59400683
144,307.0,39221.0,53036.0,22397.0,88673.0,-1.0,13051.0,-1.0,14.71812164,-1.0
145,238.0,60680.0,65719.0,24494.0,101858.0,-1.0,10240.0,-1.0,10.05321133,-1.0
146,261.0,37204.0,42200.0,19996.0,97214.0,25210.0,15650.0,4158.0,16.09850433,16.49345498
147,309.0,39886.0,57592.0,26596.0,88664.0,22277.0,13210.0,2408.0,14.89894433,10.80935494
148,376.0,70133.0,91841.0,37513.0,78687.0,-1.0,3220.0,-1.0,4.092162619,-1.0
149,487.0,37001.0,58946.0,23103.0,58717.0,-1.0,11670.0,-1.0,19.87499361,-1.0
150,183.0,40778.0,48270.0,22789.0,126025.0,35009.0,23577.0,5005.0,18.70819282,14.2963238
151,345.0,54985.0,61315.0,28016.0,83106.0,-1.0,9105.0,-1.0,10.95588766,-1.0
152,208.0,25972.0,33151.0,15931.0,110819.0,26102.0,36023.0,7200.0,32.50615869,27.58409317
153,453.0,30248.0,33740.0,9996.0,66621.0,-1.0,16051.0,-1.0,24.09300371,-1.0
154,480.0,78317.0,94985.0,37282.0,61408.0,-1.0,2501.0,-1.0,4.07275925,-1.0
155,140.0,58481.0,61229.0,17627.0,157554.0,33937.0,22846.0,3675.0,14.50042525,10.82888882
156,192.0,44261.0,66515.0,25408.0,122102.0,-1.0,21705.0,-1.0,17.7761216,-1.0
157,159.0,44169.0,50640.0,34443.0,140897.0,30251.0,23406.0,3160.0,16.61213511,10.44593567
158,363.0,32271.0,41960.0,19586.0,81002.0,-1.0,15345.0,-1.0,18.94397669,-1.0
159,80.0,38063.0,48462.0,19565.0,217882.0,55750.0,33868.0,7651.0,15.54419365,13.72376682
160,19.0,40663.0,47064.0,21249.0,602279.0,148910.0,112971.0,23414.0,18.7572537,15.72359143
161,87.0,81582.0,94067.0,33706.0,209390.0,52942.0,13873.0,2492.0,6.62543579,4.707037891
162,34.0,37800.0,42793.0,17586.0,474651.0,107226.0,115278.0,21604.0,24.28689711,20.14809841
163,454.0,85187.0,100935.0,39286.0,66407.0,-1.0,1381.0,-1.0,2.079600042,-1.0
164,156.0,58228.0,68305.0,28111.0,141436.0,33380.0,11036.0,1720.0,7.802822478,5.152786099
165,246.0,26954.0,41210.0,19535.0,100640.0,19252.0,32322.0,4013.0,32.11645469,20.84458758
166,107.0,52229.0,53478.0,18506.0,191992.0,43180.0,25093.0,4988.0,13.06981541,11.55164428
167,72.0,45924.0,51443.0,19327.0,235000.0,58818.0,35863.0,6397.0,15.26085106,10.87592234
168,264.0,25496.0,35125.0,13797.0,96416.0,22329.0,32945.0,5585.0,34.16963989,25.01231582
169,420.0,32717.0,34929.0,19613.0,71926.0,19523.0,11684.0,2788.0,16.24447349,14.28059212
170,119.0,76171.0,80999.0,28759.0,177337.0,45256.0,7231.0,1411.0,4.077547269,3.117818632
171,74.0,46713.0,58058.0,20699.0,228540.0,55020.0,35139.0,6783.0,15.37542662,12.32824427
172,100.0,49750.0,61315.0,27536.0,194267.0,48444.0,15842.0,3551.0,8.154756083,7.33011312
173,146.0,48865.0,50268.0,19823.0,147854.0,37102.0,19337.0,4019.0,13.07844225,10.83230015
174,101.0,38229.0,45897.0,18608.0,192474.0,43316.0,40082.0,6557.0,20.82463086,15.1375935
175,346.0,38846.0,50659.0,18703.0,82646.0,-1.0,13197.0,-1.0,15.96810493,-1.0
176,275.0,40477.0,49546.0,22843.0,93971.0,25057.0,13689.0,2631.0,14.56726011,10.50005986
177,88.0,36733.0,50009.0,24540.0,208406.0,51511.0,36038.0,7454.0,17.29220848,14.47069558
178,491.0,26633.0,45254.0,20828.0,55286.0,-1.0,15052.0,-1.0,27.22569909,-1.0
179,269.0,41116.0,48352.0,20473.0,94933.0,24789.0,17523.0,3590.0,18.4582811,14.48223002
180,457.0,34055.0,41758.0,18474.0,65490.0,18683.0,13138.0,2174.0,20.06107803,11.63624686
181,417.0,33586.0,41128.0,16700.0,72302.0,17759.0,14654.0,3252.0,20.26776576,18.31184188
182,172.0,45105.0,55635.0,22238.0,132801.0,34993.0,17603.0,3957.0,13.25517127,11.30797588
183,211.0,26032.0,28984.0,15947.0,110037.0,27091.0,35186.0,8464.0,31.97651699,31.24284818
184,248.0,41629.0,36488.0,15839.0,100484.0,23261.0,22354.0,5088.0,22.24632777,21.8735222
185,168.0,55649.0,66986.0,22168.0,135191.0,31832.0,16858.0,2688.0,12.469765,8.444332747
186,388.0,32060.0,36475.0,17020.0,76490.0,-1.0,10252.0,-1.0,13.40305922,-1.0
187,77.0,61483.0,72417.0,32335.0,222508.0,59476.0,14548.0,2102.0,6.538191885,3.534198668
188,371.0,50298.0,51471.0,18222.0,79158.0,18717.0,12842.0,2532.0,16.2232497,13.52780894
189,83.0,30271.0,33903.0,13115.0,212635.0,56982.0,45170.0,10590.0,21.24297505,18.58481626
190,242.0,40778.0,46984.0,22717.0,101584.0,25895.0,17707.0,3801.0,17.43089463,14.67850936
191,311.0,93677.0,105504.0,39733.0,88249.0,-1.0,2126.0,-1.0,2.409092454,-1.0
192,348.0,49650.0,53297.0,22130.0,82517.0,-1.0,15955.0,-1.0,19.33540967,-1.0
193,166.0,41602.0,47189.0,25630.0,138058.0,34905.0,17130.0,3221.0,12.40782859,9.227904312
194,47.0,50793.0,64892.0,27661.0,361493.0,90942.0,43468.0,8583.0,12.02457586,9.437883486
195,404.0,71405.0,90993.0,38103.0,74473.0,-1.0,2658.0,-1.0,3.569078727,-1.0
196,4.0,36894.0,40172.0,22534.0,1935937.0,458219.0,443757.0,91562.0,22.92207856,19.98214827
197,112.0,72141.0,85984.0,37125.0,189328.0,47213.0,11870.0,1666.0,6.269542804,3.528689132
198,139.0,44000.0,62179.0,30424.0,157267.0,41881.0,20665.0,4119.0,13.14007389,9.835008715
199,209.0,41398.0,47976.0,20949.0,111622.0,30124.0,11936.0,2504.0,10.69323252,8.312309122
200,13.0,41578.0,50584.0,22566.0,759016.0,193805.0,114963.0,22343.0,15.14632103,11.52859833
201,470.0,38878.0,42241.0,16438.0,64560.0,-1.0,13519.0,-1.0,20.94021066,-1.0
202,194.0,34962.0,37509.0,15814.0,119483.0,26505.0,21589.0,4686.0,18.06867923,17.67968308
203,124.0,82827.0,104707.0,42211.0,171953.0,41714.0,18139.0,2215.0,10.54881276,5.309967876
204,85.0,46543.0,50430.0,23517.0,211431.0,49483.0,27779.0,5352.0,13.1385653,10.81583574
205,460.0,42269.0,44796.0,18159.0,65844.0,15513.0,11706.0,2365.0,17.77838527,15.24527815
206,131.0,31177.0,38203.0,19596.0,163471.0,40273.0,42496.0,7832.0,25.99604823,19.44727237
207,12.0,44173.0,52138.0,23076.0,763791.0,199913.0,93377.0,19179.0,12.22546482,9.593673248
208,71.0,40310.0,42267.0,21803.0,245912.0,54043.0,45129.0,9392.0,18.35168678,17.37875396
209,184.0,56175.0,64263.0,23347.0,127415.0,30139.0,12865.0,3060.0,10.09692736,10.15295796
210,477.0,31152.0,39905.0,20088.0,61210.0,13401.0,18498.0,2865.0,30.2205522,21.37900157
211,155.0,33157.0,39695.0,16977.0,141538.0,35239.0,29038.0,6217.0,20.51604516,17.64238486
212,38.0,41069.0,50540.0,24567.0,438714.0,106267.0,72226.0,13758.0,16.4631172,12.94663442
213,313.0,51095.0,64025.0,28757.0,88442.0,-1.0,9813.0,-1.0,11.09540716,-1.0
214,414.0,41958.0,57362.0,22068.0,72745.0,-1.0,9972.0,-1.0,13.70815864,-1.0
215,267.0,46888.0,55828.0,21179.0,95142.0,-1.0,10606.0,-1.0,11.14754788,-1.0
216,331.0,50053.0,56388.0,23679.0,84588.0,21068.0,10815.0,1962.0,12.78550149,9.312701728
217,256.0,40896.0,46489.0,17869.0,97983.0,24773.0,15778.0,3290.0,16.10279334,13.28058774
218,127.0,30473.0,43485.0,20249.0,167743.0,41553.0,41980.0,7061.0,25.02637964,16.99275624
219,221.0,39158.0,53109.0,23587.0,107705.0,27779.0,18438.0,3809.0,17.11898241,13.71179668
220,446.0,29741.0,38440.0,21235.0,68099.0,17995.0,17826.0,4626.0,26.17659584,25.70714087
221,438.0,84081.0,101300.0,35883.0,69250.0,-1.0,3665.0,-1.0,5.292418773,-1.0
222,303.0,35574.0,42108.0,23396.0,89420.0,-1.0,12817.0,-1.0,14.33348244,-1.0
223,315.0,66186.0,71790.0,25767.0,87879.0,-1.0,4672.0,-1.0,5.31640096,-1.0
224,154.0,50234.0,60822.0,27890.0,142371.0,37532.0,14826.0,2872.0,10.41363761,7.652136843
225,169.0,44277.0,49108.0,18522.0,135063.0,30618.0,27132.0,4644.0,20.08840319,15.1675485
226,196.0,34367.0,45224.0,17888.0,119574.0,28429.0,29132.0,5138.0,24.36315587,18.07309438
227,89.0,32019.0,32577.0,12269.0,207290.0,46474.0,63812.0,13577.0,30.7839259,29.21418428
228,425.0,36613.0,47403.0,21809.0,71183.0,-1.0,6839.0,-1.0,9.607631036,-1.0
229,337.0,29363.0,35689.0,17059.0,83694.0,20017.0,23004.0,3932.0,27.48584128,19.64330319
230,25.0,47863.0,57471.0,24887.0,534475.0,132735.0,62678.0,12810.0,11.72702184,9.650808001
231,400.0,35989.0,55537.0,24061.0,74694.0,-1.0,13621.0,-1.0,18.23573513,-1.0
232,354.0,31604.0,28672.0,14743.0,81195.0,20358.0,26855.0,5971.0,33.07469672,29.32999312
233,374.0,36952.0,41087.0,16289.0,79303.0,21647.0,15941.0,3990.0,20.1013833,18.4321153
234,324.0,70900.0,79841.0,29632.0,85712.0,-1.0,4759.0,-1.0,5.552314728,-1.0
235,358.0,50703.0,60299.0,23692.0,81340.0,-1.0,6290.0,-1.0,7.732972707,-1.0
236,68.0,42442.0,60067.0,26343.0,254050.0,65647.0,37821.0,6450.0,14.88722692,9.825277621
237,75.0,45790.0,59855.0,23803.0,225254.0,58465.0,27513.0,4833.0,12.21421151,8.266484221
238,121.0,39882.0,55000.0,27122.0,175966.0,44922.0,26373.0,5172.0,14.98755441,11.5132897
239,321.0,96632.0,108175.0,36775.0,86976.0,-1.0,5357.0,-1.0,6.159170346,-1.0
240,235.0,66512.0,77557.0,29389.0,103497.0,-1.0,2576.0,-1.0,2.488961033,-1.0
241,35.0,43746.0,46477.0,23266.0,461922.0,98272.0,88868.0,16125.0,19.23874594,16.40853956
242,396.0,51420.0,66994.0,28590.0,75892.0,-1.0,7089.0,-1.0,9.340905497,-1.0
243,392.0,34985.0,44480.0,22233.0,76589.0,19767.0,14965.0,2594.0,19.53935944,13.12288157
244,464.0,30936.0,42171.0,19205.0,65476.0,18280.0,11500.0,2731.0,17.56368746,14.93982495
245,2.0,42667.0,47434.0,24587.0,3717462.0,784065.0,747613.0,131329.0,20.11084444,16.74975927
246,23.0,38664.0,50098.0,22611.0,545531.0,140556.0,83386.0,17255.0,15.28529085,12.27624577
247,265.0,41272.0,46856.0,20419.0,95887.0,23488.0,19844.0,4246.0,20.6951933,18.07731608
248,97.0,33853.0,46142.0,19253.0,198903.0,51180.0,39459.0,6719.0,19.83831315,13.12817507
249,484.0,35744.0,42186.0,22072.0,59725.0,-1.0,11410.0,-1.0,19.10422771,-1.0
250,343.0,35454.0,45986.0,19731.0,82871.0,19544.0,17588.0,3628.0,21.22334713,18.56324192
251,432.0,34738.0,33492.0,10681.0,69543.0,13025.0,19880.0,3351.0,28.58662985,25.72744722
252,302.0,23956.0,29330.0,15578.0,89616.0,21749.0,30183.0,6986.0,33.68036958,32.12101706
253,94.0,45928.0,64264.0,27475.0,203132.0,44847.0,35918.0,3690.0,17.68209834,8.227975115
254,214.0,50404.0,60602.0,25491.0,108580.0,25858.0,14032.0,2445.0,12.92319027,9.455487663
